id,user_id,board_id,value,evidence_id,hypothesis_id
0,1,0,4,0,0
1,1,1,3,0,1
2,1,3,4,0,2
3,1,9,2,0,3
4,1,10,5,0,4
5,1,8,4,0,1
6,2,0,2,1,2
7,2,1,4,1,3
8,2,3,2,1,4
9,2,9,3,1,5
10,2,10,2,1,1
11,2,7,4,1,2
12,3,0,3,2,3
13,3,1,2,2,5
14,3,3,5,2,4
15,3,4,5,2,1
16,3,8,3,2,5
17,3,2,4,2,1
18,4,0,4,3,2
19,4,1,2,3,2
20,4,3,1,3,3
21,4,4,4,3,3
22,4,6,5,3,4
23,4,8,5,3,4
24,4,2,3,3,4
25,5,0,4,4,4
26,5,3,4,4,4
27,5,7,5,4,4
28,5,8,3,4,1
29,5,2,5,4,1
30,5,1,3,4,1
31,6,0,4,5,3
32,6,10,5,5,3
33,6,3,5,5,5
34,6,5,4,5,5
35,6,2,5,5,2
36,6,8,5,5,2
37,7,0,4,6,2
38,7,2,5,6,1
39,7,5,5,6,1
40,7,8,4,6,1
41,7,6,5,6,5
42,7,4,5,6,5
43,8,10,5,7,5
44,8,6,4,7,5
45,8,0,4,7,5
46,8,1,2,7,6
47,8,2,4,7,0
48,8,8,5,7,0
