id,user_id,board_id,text
0,1,0,Hypothesis #0
1,1,1,Hypothesis #1
2,1,3,Hypothesis #2
3,1,9,Hypothesis #3
4,1,10,Hypothesis #4
5,1,8,Hypothesis #5
6,2,0,Hypothesis #6
7,2,1,Hypothesis #7
8,2,3,Hypothesis #8
9,2,9,Hypothesis #9
10,2,10,Hypothesis #1
11,2,7,Hypothesis #1
12,3,0,Hypothesis #1
13,3,1,Hypothesis #1
14,3,3,Hypothesis #1
15,3,4,Hypothesis #1
16,3,8,Hypothesis #1
17,3,2,Hypothesis #1
18,4,0,Hypothesis #1
19,4,1,Hypothesis #1
20,4,3,Hypothesis #1
21,4,4,Hypothesis #1
22,4,6,Hypothesis #1
23,4,8,Hypothesis #1
24,4,2,Hypothesis #1
25,5,0,Hypothesis #1
26,5,3,Hypothesis #1
27,5,7,Hypothesis #1
28,5,8,Hypothesis #1
29,5,2,Hypothesis #1
30,5,1,Hypothesis #1
31,6,0,Hypothesis #1
32,6,10,Hypothesis #1
33,6,3,Hypothesis #1
34,6,5,Hypothesis #1
35,6,2,Hypothesis #1
36,6,8,Hypothesis #1
37,7,0,Hypothesis #1
38,7,2,Hypothesis #1
39,7,5,Hypothesis #1
40,7,8,Hypothesis #1
41,7,6,Hypothesis #1
42,7,4,Hypothesis #1
43,8,10,Hypothesis #1
44,8,6,Hypothesis #1
45,8,0,Hypothesis #1
46,8,1,Hypothesis #1
47,8,2,Hypothesis #1
47,8,8,Hypothesis #1
